Country.name,iso3,"Very or moderately concerned about COVID-19 vaccine side effects, among unvaccinated",Less.than.secondary.education,Secondary.education,At.least.Second,Four.year.degree,Postgraduate.education,COVID.19.deaths.per.100.000.population.in.2020,Index.of.institutional.trust,Gini.coefficient.of.income,Regional.indicator,Ladder.score,Logged.GDP.per.capita,Social.support,Healthy.life.expectancy,Freedom.to.make.life.choices,Generosity,Perceptions.of.corruption,Ladder.score.in.Dystopia,Explained.by..Log.GDP.per.capita,Explained.by..Social.support,Explained.by..Healthy.life.expectancy,Explained.by..Freedom.to.make.life.choices,Explained.by..Generosity,Explained.by..Perceptions.of.corruption
Nicaragua,NIC,51.08170652,0.25298609,0.113233214,0.366219304,0.50751007,0.126270626,2.490700006,0.280302554,46.515,Latin America and Caribbean,5.972099781,8.620265961,0.863976002,67.65653229,0.835817575,0.019603606,0.663590789,2.430342913,0.693482935,0.904269993,0.604026556,0.552526534,0.200761557,0.175854132
Nigeria,NGA,67.69698223,0.15729736,0.092944385,0.250241745,0.479380351,0.270377904,0.62529999,0.1999394,44.894,Sub-Saharan Africa,4.759300232,8.532771111,0.740080059,50.10182571,0.737415612,0.037396654,0.878420711,2.430342913,0.662914753,0.625144839,0.05114226,0.432787716,0.212368652,0.038851786
Norway,NOR,33.37396385,0.083714167,0.469503948,0.553218116,0.324805409,0.121976475,8.04240036,0.605656207,24.8,Western Europe,7.392499924,11.05312634,0.954445124,73.30001068,0.959588408,0.093425564,0.270027816,2.430342913,1.543455243,1.108087897,0.781767547,0.703135014,0.248918548,0.426838964
Pakistan,PAK,46.85207913,0.06523667,0.104924747,0.170161417,0.462527733,0.36731085,4.606800079,0.27687782,33.45,South Asia,4.934000015,8.458282471,0.650571227,58.70899963,0.725576997,0.097567484,0.786977053,2.430342913,0.636890531,0.423490375,0.322224617,0.418382078,0.251620471,0.097167663
Panama,PAN,53.36216445,0.375669352,0.16185018,0.537519531,0.381536916,0.080943552,93.21469879,0.181664005,49.8,Latin America and Caribbean,6.179599762,10.35015488,0.895877123,69.65210724,0.871880412,-0.166285664,0.855687737,2.430342913,1.297856927,0.976140022,0.666877091,0.596409023,0.079498626,0.053349163
Paraguay,PRY,33.57501809,0.313423795,0.219314777,0.532738572,0.400098298,0.06716313,31.71390152,0.138144866,47.4,Latin America and Caribbean,5.652599812,9.448143959,0.893345177,65.90000153,0.876437843,0.028112838,0.881679952,2.430342913,0.982720017,0.970435798,0.548704743,0.601954639,0.206312463,0.036773287
Peru,PER,46.14962978,0.320341098,0.161546461,0.481887559,0.439036283,0.079076158,114.2792969,0.095920503,43.9,Latin America and Caribbean,5.839600086,9.458379745,0.832286239,68.25005341,0.821962059,-0.154102549,0.891135454,2.430342913,0.986296117,0.832876086,0.622719467,0.535666645,0.087446161,0.03074328
Philippines,PHL,64.18520386,0.059863462,0.252344777,0.31220824,0.564426586,0.123365174,8.435800552,0.519950509,42.23,Southeast Asia,5.880199909,9.075588226,0.829926372,61.99995422,0.916998565,-0.096835852,0.741764247,2.430342913,0.852559626,0.82755959,0.425873011,0.651310325,0.124803491,0.126000986
Poland,POL,71.93111732,0.11062205,0.532552635,0.643174685,0.292440953,0.064384363,75.44670105,0.3037453,27.8,Central and Eastern Europe,6.166100025,10.3819809,0.898286939,69.70166779,0.840617239,-0.164864704,0.735349298,2.430342913,1.308976054,0.981569052,0.668437958,0.558366895,0.080425575,0.130091965
Portugal,PRT,56.64878999,0.38151998,0.256725868,0.638245847,0.271617708,0.090136444,67.72769928,0.248361751,32.1,Western Europe,5.928999901,10.42119789,0.879448891,72.59953308,0.891718566,-0.244393438,0.887328267,2.430342913,1.322677374,0.939128816,0.75970608,0.620548785,0.028545836,0.033171218
South Korea,KOR,48.95075802,0.030090731,0.296466069,0.3265568,0.538615877,0.134827322,1.788599968,0.111827433,35.5,East Asia,5.845499992,10.65071297,0.799064696,73.8998642,0.672015309,-0.08323475,0.727083743,2.430342913,1.402863383,0.758031309,0.800659895,0.353206396,0.133676022,0.135363102
Moldova,MDA,68.21449061,0.119262814,0.221607192,0.340870005,0.495093528,0.164036467,73.99669647,0.103947103,25.9,Commonwealth of Independent States,5.76639986,9.453942299,0.856774926,65.69859314,0.822086751,-0.078676604,0.918213725,2.430342913,0.9847458,0.888046682,0.542361438,0.535818398,0.136649475,0.013474797
Romania,ROU,70.30151185,0.085172479,0.400634811,0.48580729,0.320150536,0.194042174,81.95890045,0.100040212,35.1,Central and Eastern Europe,6.139999866,10.28373146,0.831914365,67.35520935,0.845042109,-0.219464272,0.938272417,2.430342913,1.274650574,0.832038343,0.594536424,0.56375128,0.04480812,0.000682874
